Week,Room,RoomCluster,ClusterType,RoomType,TreatmentType,Usage,All.Neighbors,Efficient.Neighbors
2017-36,3040B,3040,NA,Double Bedroom,Control,0.786164889,NA,NA
2017-36,3042A,3042,Double,Double Bedroom,Cluster,1.722590347,1.789724745,1.747435854
2017-36,3042B,3042,Double,Double Bedroom,Cluster,1.722590347,1.789724745,1.747435854
2017-36,4007,4007,NA,Single Bedroom,Control,0.989618507,NA,NA
2017-36,4008A,4008,Double,Double Bedroom,Cluster,1.798301847,1.788483572,1.745370029
2017-36,4008B,4008,Double,Double Bedroom,Cluster,1.798301847,1.788483572,1.745370029
2017-36,4009A,4009,Single,Single Bedroom,Cluster,3.847822572,3.980946225,3.876159927
2017-36,4009B,4009,Single,Single Bedroom,Cluster,3.847822572,3.980946225,3.876159927
2017-36,4009C,4009,Single,Single Bedroom,Cluster,3.847822572,3.980946225,3.876159927
2017-36,4009D,4009,Single,Single Bedroom,Cluster,3.847822572,3.980946225,3.876159927
2017-36,4010A,4010,Single,Single Bedroom,Individual,1.037208403,0.997953007,0.936549935
2017-36,4010B,4010,Single,Single Bedroom,Individual,1.054581429,0.997847715,0.936549935
2017-36,4010C,4010,Single,Single Bedroom,Individual,1.098496042,0.997581566,0.936549935
2017-36,4010D,4010,Single,Single Bedroom,Individual,1.019045986,0.998063082,0.936549935
2017-36,4011A,4011,Single,Single Bedroom,Cluster,4.025846,3.975203534,3.861108994
2017-36,4011B,4011,Single,Single Bedroom,Cluster,4.025846,3.975203534,3.861108994
2017-36,4011C,4011,Single,Single Bedroom,Cluster,4.025846,3.975203534,3.861108994
2017-36,4011D,4011,Single,Single Bedroom,Cluster,4.025846,3.975203534,3.861108994
2017-36,4013A,4013,Double,Double Bedroom,Cluster,1.783193814,1.788731245,1.745370029
2017-36,4013B,4013,Double,Double Bedroom,Cluster,1.783193814,1.788731245,1.745370029
2017-36,4014A,4014,Double,Double Bedroom,Cluster,1.758547752,1.789135279,1.745370029
2017-36,4014B,4014,Double,Double Bedroom,Cluster,1.758547752,1.789135279,1.745370029
2017-36,4015A,4015,Double,Double Bedroom,Control,0.915431694,NA,NA
2017-36,4015B,4015,Double,Double Bedroom,Control,0.944248097,NA,NA
2017-36,4018A,4018,Double,Double Bedroom,Cluster,1.79764264,1.788494379,1.745370029
2017-36,4018B,4018,Double,Double Bedroom,Cluster,1.79764264,1.788494379,1.745370029
2017-36,4021D,4021,NA,Single Bedroom,Control,0.935445006,NA,NA
2017-36,4022A,4022,Single,Single Bedroom,Cluster,4.180473384,3.970215553,3.861108994
2017-36,4022B,4022,Single,Single Bedroom,Cluster,4.180473384,3.970215553,3.861108994
2017-36,4022C,4022,Single,Single Bedroom,Cluster,4.180473384,3.970215553,3.861108994
2017-36,4022D,4022,Single,Single Bedroom,Cluster,4.180473384,3.970215553,3.861108994
2017-36,4023A,4023,Single,Single Bedroom,Control,1.007459961,NA,NA
2017-36,4023B,4023,Single,Single Bedroom,Control,0.961464476,NA,NA
2017-36,4023C,4023,Single,Single Bedroom,Control,0.973581033,NA,NA
2017-36,4023D,4023,Single,Single Bedroom,Control,0.957610884,NA,NA
2017-36,4024C,4024,NA,Single Bedroom,Individual,0.95817628,0.998431989,0.936549935
2017-36,4024D,4024,NA,Single Bedroom,Individual,0.946036881,0.998505561,0.936549935
2017-36,4027A,4027,Double,Double Bedroom,Cluster,1.761348744,1.789089361,1.745370029
2017-36,4027B,4027,Double,Double Bedroom,Cluster,1.761348744,1.789089361,1.745370029
2017-36,4029A,4029,Double,Double Bedroom,Individual,0.895951591,0.891917926,0.85690727
2017-36,4029B,4029,Double,Double Bedroom,Individual,0.877182167,0.892050105,0.85690727
2017-36,4030A,4030,Double,Double Bedroom,Control,0.93422394,NA,NA
2017-36,4030B,4030,Double,Double Bedroom,Control,0.86001443,NA,NA
2017-36,4031A,4031,Double,Double Bedroom,Cluster,1.829432282,1.787973237,1.745370029
2017-36,4031B,4031,Double,Double Bedroom,Cluster,1.829432282,1.787973237,1.745370029
2017-36,4032A,4032,Double,Double Bedroom,Individual,0.872559099,0.892082662,0.85690727
2017-36,4032B,4032,Double,Double Bedroom,Individual,0.874876755,0.89206634,0.85690727
2017-36,4036A,4036,NA,Single Bedroom,Individual,1.037208403,0.997953007,0.936549935
2017-36,4036B,4036,NA,Double Bedroom,Individual,0.906072034,0.891846655,0.85690727
2017-36,4037A,4037,Double,Double Bedroom,Cluster,1.80412422,1.788388124,1.745370029
2017-36,4037B,4037,Double,Double Bedroom,Cluster,1.80412422,1.788388124,1.745370029
2017-36,4039A,4039,Double,Double Bedroom,Control,0.901292292,NA,NA
2017-36,4039B,4039,Double,Double Bedroom,Control,0.883689363,NA,NA
2017-36,4040A,4040,NA,Single Bedroom,Control,0.960219883,NA,NA
2017-36,4040B,4040,NA,Double Bedroom,Control,0.915420282,NA,NA
2017-36,4042A,4042,Double,Double Bedroom,Control,0.85499094,NA,NA
2017-36,4042B,4042,Double,Double Bedroom,Control,0.890379088,NA,NA
2017-36,5007,5007,NA,Single Bedroom,Individual,1.005871561,0.998142927,0.936549935
2017-36,5008A,5008,Double,Double Bedroom,Individual,0.931309129,0.891668929,0.85690727
2017-36,5008B,5008,Double,Double Bedroom,Individual,0.8936523,0.891934118,0.85690727
2017-36,5009A,5009,Single,Single Bedroom,Control,1.000536155,NA,NA
2017-36,5009B,5009,Single,Single Bedroom,Control,1.005871561,NA,NA
2017-36,5009C,5009,Single,Single Bedroom,Control,1.034938401,NA,NA
2017-36,5009D,5009,Single,Single Bedroom,Control,0.976802316,NA,NA
2017-36,5010A,5010,Single,Single Bedroom,Cluster,4.100515227,3.972794849,3.861108994
2017-36,5010B,5010,Single,Single Bedroom,Cluster,4.100515227,3.972794849,3.861108994
2017-36,5010C,5010,Single,Single Bedroom,Cluster,4.100515227,3.972794849,3.861108994
2017-36,5010D,5010,Single,Single Bedroom,Cluster,4.100515227,3.972794849,3.861108994
2017-36,5011A,5011,Single,Single Bedroom,Control,0.935445006,NA,NA
2017-36,5011B,5011,Single,Single Bedroom,Control,1.055915779,NA,NA
2017-36,5011C,5011,Single,Single Bedroom,Control,0.935445006,NA,NA
2017-36,5011D,5011,Single,Single Bedroom,Control,0.95874889,NA,NA
2017-36,5013A,5013,Double,Double Bedroom,Control,0.918296698,NA,NA
2017-36,5013B,5013,Double,Double Bedroom,Control,0.893333128,NA,NA
2017-36,5014A,5014,Double,Double Bedroom,Cluster,1.776495174,1.788841059,1.745370029
2017-36,5014B,5014,Double,Double Bedroom,Cluster,1.776495174,1.788841059,1.745370029
2017-36,5015A,5015,Double,Double Bedroom,Individual,0.910610227,0.891814696,0.85690727
2017-36,5015B,5015,Double,Double Bedroom,Individual,0.906307996,0.891844993,0.85690727
2017-36,5018A,5018,Double,Double Bedroom,Individual,0.919504917,0.891752057,0.85690727
2017-36,5018B,5018,Double,Double Bedroom,Individual,0.869438935,0.892104635,0.85690727
2017-36,5021A,5021,Single,Single Bedroom,Individual,0.987922318,0.99825171,0.936549935
2017-36,5021B,5021,Single,Single Bedroom,Individual,1.005871561,0.998142927,0.936549935
2017-36,5021C,5021,Single,Single Bedroom,Individual,0.935899006,0.998567003,0.936983887
2017-36,5021D,5021,Single,Single Bedroom,Individual,1.005871561,0.998142927,0.936549935
2017-36,5022A,5022,Single,Single Bedroom,Cluster,3.891749206,3.979529237,3.861108994
2017-36,5022B,5022,Single,Single Bedroom,Cluster,3.891749206,3.979529237,3.861108994
2017-36,5022C,5022,Single,Single Bedroom,Cluster,3.891749206,3.979529237,3.861108994
2017-36,5022D,5022,Single,Single Bedroom,Cluster,3.891749206,3.979529237,3.861108994
2017-36,5023A,5023,Single,Single Bedroom,Cluster,3.820297244,3.981834139,3.876159927
2017-36,5023B,5023,Single,Single Bedroom,Cluster,3.820297244,3.981834139,3.876159927
2017-36,5023C,5023,Single,Single Bedroom,Cluster,3.820297244,3.981834139,3.876159927
2017-36,5023D,5023,Single,Single Bedroom,Cluster,3.820297244,3.981834139,3.876159927
2017-36,5024A,5024,NA,Single Bedroom,Control,1.071041646,NA,NA
2017-36,5024B,5024,NA,Single Bedroom,Control,1.073865021,NA,NA
2017-36,5024C,5024,NA,Single Bedroom,Control,0.935445006,NA,NA
2017-36,5027A,5027,NA,Double Bedroom,Individual,0.91326875,0.891795974,0.85690727
2017-36,5027B,5027,NA,Double Bedroom,Individual,0.87767525,0.892046633,0.85690727
2017-36,5029A,5029,Double,Double Bedroom,Cluster,1.787302641,1.788663887,1.745370029
2017-36,5029B,5029,Double,Double Bedroom,Cluster,1.787302641,1.788663887,1.745370029
2017-36,5030A,5030,Double,Double Bedroom,Individual,0.899862019,0.891890388,0.85690727
2017-36,5030B,5030,Double,Double Bedroom,Individual,0.899572624,0.891892426,0.85690727
2017-36,5031A,5031,Double,Double Bedroom,Cluster,1.918824953,1.786507784,1.745370029
2017-36,5031B,5031,Double,Double Bedroom,Cluster,1.918824953,1.786507784,1.745370029
2017-36,5032A,5032,Double,Double Bedroom,Individual,0.844604758,0.892279523,0.860183476
2017-36,5032B,5032,Double,Double Bedroom,Individual,0.986382732,0.891281087,0.85690727
2017-36,5036A,5036,NA,Single Bedroom,Individual,0.950218651,0.998480217,0.936549935
2017-36,5036B,5036,NA,Double Bedroom,Individual,0.915794552,0.891778187,0.85690727
2017-36,5037A,5037,NA,Double Bedroom,Control,0.884263695,NA,NA
2017-36,5039A,5039,Double,Double Bedroom,Cluster,1.794288179,1.78854937,1.745370029
2017-36,5039B,5039,Double,Double Bedroom,Cluster,1.794288179,1.78854937,1.745370029
2017-36,5040A,5040,NA,Single Bedroom,Individual,0.95817628,0.998431989,0.936549935
2017-36,5040B,5040,NA,Double Bedroom,Individual,0.968644288,0.891406006,0.85690727
2017-36,5042A,5042,Double,Double Bedroom,Cluster,1.786633982,1.788674849,1.745370029
2017-36,5042B,5042,Double,Double Bedroom,Cluster,1.786633982,1.788674849,1.745370029
2017-36,6008A,6008,Double,Double Bedroom,Control,0.904300597,NA,NA
2017-36,6008B,6008,Double,Double Bedroom,Control,0.951355778,NA,NA
2017-36,6009A,6009,Single,Single Bedroom,Cluster,4.140187167,3.971515109,3.861108994
2017-36,6009B,6009,Single,Single Bedroom,Cluster,4.140187167,3.971515109,3.861108994
2017-36,6009C,6009,Single,Single Bedroom,Cluster,4.140187167,3.971515109,3.861108994
2017-36,6009D,6009,Single,Single Bedroom,Cluster,4.140187167,3.971515109,3.861108994
2017-36,6010A,6010,Single,Single Bedroom,Individual,0.945131285,0.99851105,0.936549935
2017-36,6010B,6010,Single,Single Bedroom,Individual,1.012226363,0.998104413,0.936549935
2017-36,6010C,6010,Single,Single Bedroom,Individual,0.938758449,0.998549673,0.936549935
2017-36,6010D,6010,Single,Single Bedroom,Individual,0.978279319,0.998310152,0.936549935
2017-36,6011A,6011,Single,Single Bedroom,Individual,0.935445006,0.998569754,0.936983887
2017-36,6011B,6011,Single,Single Bedroom,Individual,0.960332481,0.998418921,0.936549935
2017-36,6011C,6011,Single,Single Bedroom,Individual,1.107138879,0.997529185,0.936549935
2017-36,6011D,6011,Single,Single Bedroom,Individual,0.875008072,0.998936039,0.936983887
2017-36,6013A,6013,Double,Double Bedroom,Cluster,1.869200581,1.787321298,1.745370029
2017-36,6013B,6013,Double,Double Bedroom,Cluster,1.869200581,1.787321298,1.745370029
2017-36,6014A,6014,Double,Double Bedroom,Cluster,1.809432944,1.788301095,1.745370029
2017-36,6014B,6014,Double,Double Bedroom,Cluster,1.809432944,1.788301095,1.745370029
2017-36,6015A,6015,Double,Double Bedroom,Individual,0.919939278,0.891748999,0.85690727
2017-36,6015B,6015,Double,Double Bedroom,Individual,0.937905361,0.891622477,0.85690727
2017-36,6018A,6018,Double,Double Bedroom,Individual,0.894953181,0.891924957,0.85690727
2017-36,6018B,6018,Double,Double Bedroom,Individual,0.899572624,0.891892426,0.85690727
2017-36,6021A,6021,Single,Single Bedroom,Cluster,4.20831126,3.969317557,3.861108994
2017-36,6021B,6021,Single,Single Bedroom,Cluster,4.20831126,3.969317557,3.861108994
2017-36,6021C,6021,Single,Single Bedroom,Cluster,4.20831126,3.969317557,3.861108994
2017-36,6021D,6021,Single,Single Bedroom,Cluster,4.20831126,3.969317557,3.861108994
2017-36,6022A,6022,Single,Single Bedroom,Cluster,3.956903662,3.97742748,3.861108994
2017-36,6022B,6022,Single,Single Bedroom,Cluster,3.956903662,3.97742748,3.861108994
2017-36,6022C,6022,Single,Single Bedroom,Cluster,3.956903662,3.97742748,3.861108994
2017-36,6022D,6022,Single,Single Bedroom,Cluster,3.956903662,3.97742748,3.861108994
2017-36,6023A,6023,NA,Single Bedroom,Individual,0.95817628,0.998431989,0.936549935
2017-36,6023B,6023,NA,Single Bedroom,Individual,1.077401257,0.997709413,0.936549935
2017-36,6024A,6024,Single,Single Bedroom,Control,1.073189431,NA,NA
2017-36,6024B,6024,Single,Single Bedroom,Control,1.151750722,NA,NA
2017-36,6024C,6024,Single,Single Bedroom,Control,1.008474548,NA,NA
2017-36,6024D,6024,Single,Single Bedroom,Control,1.069676038,NA,NA
2017-36,6027A,6027,Double,Double Bedroom,Control,0.913938537,NA,NA
2017-36,6027B,6027,Double,Double Bedroom,Control,0.8611414,NA,NA
2017-36,6029A,6029,Double,Double Bedroom,Cluster,1.774788582,1.788869036,1.745370029
2017-36,6029B,6029,Double,Double Bedroom,Cluster,1.774788582,1.788869036,1.745370029
2017-36,6030A,6030,Double,Double Bedroom,Cluster,1.775584968,1.78885598,1.745370029
2017-36,6030B,6030,Double,Double Bedroom,Cluster,1.775584968,1.78885598,1.745370029
2017-36,6031A,6031,Double,Double Bedroom,Cluster,1.76178144,1.789082268,1.745370029
2017-36,6031B,6031,Double,Double Bedroom,Cluster,1.76178144,1.789082268,1.745370029
2017-36,6032B,6032,NA,Double Bedroom,Control,0.912425053,NA,NA
2017-36,6036A,6036,NA,Single Bedroom,Individual,1.078974028,0.997699882,0.936549935
2017-36,6036B,6036,NA,Double Bedroom,Individual,0.917921596,0.891763208,0.85690727
2017-36,6037A,6037,Double,Double Bedroom,Cluster,1.779716914,1.788788243,1.745370029
2017-36,6037B,6037,Double,Double Bedroom,Cluster,1.779716914,1.788788243,1.745370029
2017-36,6039A,6039,Double,Double Bedroom,Individual,0.903312767,0.891866087,0.85690727
2017-36,6039B,6039,Double,Double Bedroom,Individual,0.87079741,0.892095068,0.85690727
2017-36,6040A,6040,NA,Single Bedroom,Individual,1.192378341,0.997012583,0.936549935
2017-36,6040B,6040,NA,Double Bedroom,Individual,0.942324741,0.891591354,0.85690727
2017-36,6042A,6042,Double,Double Bedroom,Cluster,1.821583312,1.788101909,1.745370029
2017-36,6042B,6042,Double,Double Bedroom,Cluster,1.821583312,1.788101909,1.745370029
2017-37,1008A,1008,Double,Double Bedroom,Cluster,1.517940358,1.546926059,1.486231134
2017-37,1008B,1008,Double,Double Bedroom,Cluster,1.517940358,1.546926059,1.486231134
2017-37,1009A,1009,NA,Single Bedroom,Control,0.781808577,NA,NA
2017-37,1009B,1009,NA,Single Bedroom,Control,0.791336572,NA,NA
2017-37,1009C,1009,NA,Single Bedroom,Control,0.764836652,NA,NA
2017-37,1010A,1010,Single,Single Bedroom,Individual,0.825759257,0.789245878,0.765125644
2017-37,1010B,1010,Single,Single Bedroom,Individual,0.870039316,0.788977514,0.765125644
2017-37,1010C,1010,Single,Single Bedroom,Individual,0.80311894,0.789383092,0.765125644
2017-37,1010D,1010,Single,Single Bedroom,Individual,0.851737851,0.789088432,0.765125644
2017-37,1011A,1011,Single,Single Bedroom,Individual,0.782672095,0.789507012,0.765125644
2017-37,1011B,1011,Single,Single Bedroom,Individual,0.79737601,0.789417898,0.765125644
2017-37,1011C,1011,Single,Single Bedroom,Individual,0.773715507,0.789561295,0.765125644
2017-37,1011D,1011,Single,Single Bedroom,Individual,0.704390101,0.789981449,0.765318304
